--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.28176596422476 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            0.055/1590.299 G/G
max_fitting_error_skew              0.058/190.541 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                       Nn(s=0)      Integ_Nn     Nn/N0(@r0)   |    Sn(s=0)      Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                2.1767e-04    +1.9912e-05   -7.6853e-04  |  2.4023e-02    -2.2532e-03   +8.6964e-02 
n=01:                                    ---           ---           ---      |  1.4305e-04    -1.3619e-06   +6.3079e-07 
n=02:                                2.3900e+03    -1.7992e+02   +1.0000e+00  |  9.7393e-03    +3.1373e-03   -1.7437e-05 
n=03:                                    ---           ---           ---      |  1.4878e+00    +5.7449e-02   -3.8316e-06 
n=04:                                1.1594e+03    +1.3145e+02   -1.0520e-04  |  4.5354e+05    +3.2693e+04   -2.6166e-02 
n=06:                                1.0790e+08    +5.1247e+06   -5.9062e-04  |  3.2474e+08    -2.0610e+07   +2.3753e-03 
n=07:                                    ---           ---           ---      |  9.8002e+08    -3.0086e+07   +4.1609e-05 
n=08:                                2.3126e+12    +7.9080e+10   -1.3124e-03  |  1.3362e+12    -1.1139e+11   +1.8486e-03 
n=09:                                    ---           ---           ---      |  1.0531e+13    +2.8256e+11   -5.6272e-05 
n=10:                                    ---           ---           ---      |  2.3930e+15    -1.1229e+14   +2.6836e-04 
n=13:                                    ---           ---           ---      |  1.6953e+20    -4.1948e+18   +1.7323e-05 
n=14:                                3.8160e+23    -2.5711e+22   +1.2741e-03  |      ---           ---           ---     
