--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   73.30830929672028 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            0.832/1584.536 G/G
max_fitting_error_skew              0.530/133.687 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                      MaxAbs_Nn     Integ_Nn     Nn/N0(@r0)   |   MaxAbs_Sn     Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.4078e-04    -9.3265e-06   +3.5805e-04  |  1.7099e-02    -1.5715e-03   +6.0332e-02 
n=01:                                    ---           ---           ---      |  1.2996e-03    -4.8869e-06   +2.2513e-06 
n=02:                                2.4678e+03    -1.8089e+02   +1.0000e+00  |  1.1893e+01    +1.7856e-02   -9.8712e-05 
n=03:                                    ---           ---           ---      |  6.6822e+01    +1.6469e-01   -1.0925e-05 
n=04:                                9.2288e+05    -2.3441e+02   +1.8660e-04  |  3.3185e+05    +2.2136e+04   -1.7622e-02 
n=06:                                2.7196e+09    +5.3005e+05   -6.0761e-05  |  8.6348e+08    -7.5743e+06   +8.6826e-04 
n=07:                                    ---           ---           ---      |  2.2629e+10    -4.7981e+07   +6.6002e-05 
n=08:                                1.7886e+13    +1.5921e+11   -2.6282e-03  |  8.3149e+12    -1.1418e+11   +1.8848e-03 
n=09:                                    ---           ---           ---      |  2.0223e+14    +4.0552e+11   -8.0328e-05 
n=10:                                    ---           ---           ---      |  2.1897e+16    -7.7900e+12   +1.8517e-05 
n=13:                                    ---           ---           ---      |  3.2289e+21    -6.2340e+18   +2.5606e-05 
n=14:                                5.8551e+23    -2.9661e+22   +1.4620e-03  |      ---           ---           ---     
