--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   75.05223887173445 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            0.976/2066.163 G/G
max_fitting_error_skew              0.532/140.379 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                      MaxAbs_Nn     Integ_Nn     Nn/N0(@r0)   |   MaxAbs_Sn     Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.7298e-02    -1.6019e-03   +6.0050e-02  |  1.7091e-02    -1.6006e-03   +6.0002e-02 
n=01:                                    ---           ---           ---      |  1.0810e-03    -6.0310e-06   +2.7130e-06 
n=02:                                2.4685e+03    -1.8525e+02   +1.0000e+00  |  1.1807e+01    +1.9433e-02   -1.0490e-04 
n=03:                                    ---           ---           ---      |  5.6522e+01    +2.2159e-01   -1.4353e-05 
n=04:                                1.2359e+06    -2.2996e+04   +1.7875e-02  |  3.3221e+05    +2.2624e+04   -1.7586e-02 
n=06:                                2.8336e+09    -3.4912e+07   +3.9078e-03  |  1.1942e+09    -6.6946e+06   +7.4935e-04 
n=07:                                    ---           ---           ---      |  2.0158e+10    -5.6602e+07   +7.6028e-05 
n=08:                                1.8003e+13    +2.9427e+11   -4.7432e-03  |  1.0842e+13    -1.2596e+11   +2.0302e-03 
n=09:                                    ---           ---           ---      |  1.8356e+14    +4.4020e+11   -8.5144e-05 
n=10:                                    ---           ---           ---      |  2.8558e+16    +1.7647e+13   -4.0960e-05 
n=13:                                    ---           ---           ---      |  2.9684e+21    -5.8199e+18   +2.3342e-05 
n=14:                                9.5273e+23    -3.0925e+22   +1.4884e-03  |      ---           ---           ---     
