--- multipoles on reference trajectory (rz > 0) ---
effective_length:                   73.30811626167109 mm
perpendicular_grid:                 41 points in [-12.000000,+12.000000] mm
max_fitting_error_normal            0.894/1753.936 G/G
max_fitting_error_skew              0.531/133.589 G/G
r0_for_relative_multipoles          12 mm
main_monomial                       n = 2, skew:False
                                      MaxAbs_Nn     Integ_Nn     Nn/N0(@r0)   |   MaxAbs_Sn     Integ_Sn     Sn/S0(@r0)  
<multipole_order n>                    [T/m^n]      [T.m/m^n]        []       |    [T/m^n]      [T.m/m^n]        []      
n=00:                                1.7297e-02    -1.5717e-03   +6.0336e-02  |  1.7087e-02    -1.5704e-03   +6.0287e-02 
n=01:                                    ---           ---           ---      |  1.3812e-03    -4.8872e-06   +2.2513e-06 
n=02:                                2.4680e+03    -1.8090e+02   +1.0000e+00  |  1.1916e+01    +1.7067e-02   -9.4344e-05 
n=03:                                    ---           ---           ---      |  7.1114e+01    +1.6654e-01   -1.1047e-05 
n=04:                                1.2139e+06    -2.2723e+04   +1.8088e-02  |  3.3318e+05    +2.2153e+04   -1.7634e-02 
n=06:                                3.2269e+09    -3.0597e+07   +3.5073e-03  |  8.7795e+08    -8.0928e+06   +9.2766e-04 
n=07:                                    ---           ---           ---      |  2.4082e+10    -4.8147e+07   +6.6228e-05 
n=08:                                1.7739e+13    +2.7088e+11   -4.4712e-03  |  8.4286e+12    -1.1056e+11   +1.8249e-03 
n=09:                                    ---           ---           ---      |  2.1517e+14    +4.0604e+11   -8.0427e-05 
n=10:                                    ---           ---           ---      |  2.2256e+16    -1.6255e+13   +3.8636e-05 
n=13:                                    ---           ---           ---      |  3.4333e+21    -6.2672e+18   +2.5741e-05 
n=14:                                5.9655e+23    -2.9550e+22   +1.4564e-03  |      ---           ---           ---     
